gust_3s_mph,V_design_mph,R_eff,SWS_TRACKER_STRUCT_DR,SWS_RACKING_STRUCT_DR,SWS_MODULE_ATTACH_DR,SWS_FOUNDATION_UPLIFT_DR,SWS_SCADA_EXPOSED_DR,struct_agg_DR_phys,struct_agg_usd_per_MWdc,struct_agg_pct_installed_TIV
60,115.0,0.2722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,115.0,0.3195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,115.0,0.3705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,115.0,0.4253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,115.0,0.4839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,115.0,0.5463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,115.0,0.6125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,115.0,0.6824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,115.0,0.7561,0.0225,0.0,0.0327,0.0,0.0357,0.024,13052.0,1.165
105,115.0,0.8336,0.0439,0.0259,0.067,0.0,0.0498,0.0514,27969.0,2.497
110,115.0,0.9149,0.0861,0.0481,0.1337,0.0204,0.0671,0.1047,56973.0,5.087
115,115.0,1.0,0.1647,0.0894,0.2454,0.0357,0.0862,0.1928,104949.0,9.37
120,115.0,1.0888,0.2926,0.162,0.3873,0.0623,0.1046,0.3114,169460.0,15.13
125,115.0,1.1815,0.4563,0.2747,0.5124,0.1058,0.1201,0.4297,233852.0,20.88
130,115.0,1.2779,0.6077,0.4167,0.5896,0.1694,0.1316,0.521,283544.0,25.316
135,115.0,1.3781,0.709,0.5519,0.6264,0.247,0.1393,0.5809,316158.0,28.228
140,115.0,1.482,0.7616,0.6487,0.6415,0.3222,0.1441,0.6165,335504.0,29.956
145,115.0,1.5898,0.785,0.7036,0.6471,0.3792,0.1468,0.6358,346011.0,30.894
150,115.0,1.7013,0.7944,0.7303,0.649,0.4146,0.1484,0.6454,351250.0,31.362
155,115.0,1.8166,0.798,0.742,0.6497,0.4335,0.1492,0.6499,353681.0,31.579
160,115.0,1.9357,0.7993,0.7469,0.6499,0.4427,0.1496,0.6518,354749.0,31.674
165,115.0,2.0586,0.7998,0.7488,0.65,0.4469,0.1498,0.6527,355201.0,31.714
170,115.0,2.1853,0.7999,0.7496,0.65,0.4487,0.1499,0.653,355387.0,31.731
175,115.0,2.3157,0.8,0.7499,0.65,0.4495,0.15,0.6531,355461.0,31.738
180,115.0,2.4499,0.8,0.7499,0.65,0.4498,0.15,0.6532,355490.0,31.74
185,115.0,2.5879,0.8,0.75,0.65,0.4499,0.15,0.6532,355501.0,31.741
190,115.0,2.7297,0.8,0.75,0.65,0.45,0.15,0.6532,355505.0,31.742
195,115.0,2.8752,0.8,0.75,0.65,0.45,0.15,0.6532,355507.0,31.742
200,115.0,3.0246,0.8,0.75,0.65,0.45,0.15,0.6532,355507.0,31.742
