pathway_id,demand_x,v2_lower_dr,v2_central_dr,v2_upper_dr,v2_central_contribution_pct_installed,extrapolation_flag,comparability_note
fixed_tilt_ground_mount,0.2,0.0,0.0,0.0,0.0,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,0.4,0.0,0.001,0.0089,0.036,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,0.6,0.0042,0.0377,0.1435,1.35,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,0.8,0.0449,0.1942,0.425,6.956,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,1.0,0.1623,0.425,0.6558,15.224,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,1.2,0.3356,0.6191,0.775,22.176,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,1.4,0.5079,0.7386,0.8236,26.457,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,1.6,0.6422,0.8002,0.8411,28.663,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,1.8,0.7318,0.8287,0.8471,29.684,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,2.0,0.7858,0.8411,0.849,30.128,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,2.2,0.8162,0.8464,0.8497,30.318,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,2.4,0.8326,0.8485,0.8499,30.393,in_range,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,2.6,0.8411,0.8494,0.85,30.426,high_extrap,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,2.8,0.8455,0.8497,0.85,30.436,high_extrap,different_denominators_do_not_treat_as_regression_target
fixed_tilt_ground_mount,3.0,0.8477,0.8499,0.85,30.443,high_extrap,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,0.2,0.0,0.0,0.0,0.0,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,0.4,0.0,0.0002,0.0029,0.007,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,0.6,0.001,0.0128,0.075,0.458,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,0.8,0.0154,0.0962,0.2952,3.446,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,1.0,0.075,0.2726,0.5417,9.765,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,1.2,0.1942,0.4729,0.7065,16.939,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,1.4,0.3477,0.6324,0.7902,22.653,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,1.6,0.4974,0.7348,0.8266,26.321,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,1.8,0.6191,0.7925,0.8411,28.387,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,2.0,0.7065,0.8223,0.8467,29.455,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,2.2,0.7643,0.837,0.8488,29.981,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,2.4,0.8002,0.844,0.8495,30.232,in_range,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,2.6,0.8216,0.8472,0.8498,30.347,high_extrap,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,2.8,0.8341,0.8487,0.8499,30.4,high_extrap,different_denominators_do_not_treat_as_regression_target
single_axis_tracker,3.0,0.8411,0.8494,0.85,30.426,high_extrap,different_denominators_do_not_treat_as_regression_target
