V_mps,V_mph,ratio_to_Ve50,WT_BLADE_STRUCT_DR_SLW,WT_TOWER_STRUCT_DR_SLW,WT_NACELLE_CONSEQ_DR_SLW,WT_FOUNDATION_OT_DR_SLW,WT_POWER_ELEC_ACCEL_DR_SLW,WT_BLADE_STRUCT_DR_TOR,WT_TOWER_STRUCT_DR_TOR,WT_NACELLE_CONSEQ_DR_TOR,WT_FOUNDATION_OT_DR_TOR,WT_POWER_ELEC_ACCEL_DR_TOR,struct_agg_DR_phys_SLW,struct_agg_pct_TIV_SLW,struct_agg_DR_phys_TOR,struct_agg_pct_TIV_TOR
20,44.7,0.336,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,55.9,0.42,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
30,67.1,0.504,0.0,0.0,0.0001,0.0,0.0011,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0
35,78.3,0.588,0.0001,0.0001,0.0002,0.0001,0.0022,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0001,0.0,0.0
40,89.5,0.672,0.0002,0.0001,0.0004,0.0001,0.0043,0.0001,0.0001,0.0001,0.0,0.0006,0.0002,0.0002,0.0001,0.0
45,100.7,0.756,0.0006,0.0003,0.0009,0.0003,0.0084,0.0002,0.0001,0.0002,0.0001,0.0012,0.0005,0.0004,0.0001,0.0001
50,111.8,0.84,0.0015,0.0009,0.0021,0.0006,0.016,0.0005,0.0003,0.0006,0.0001,0.0023,0.0012,0.001,0.0003,0.0003
55,123.0,0.924,0.0042,0.0022,0.0049,0.0012,0.0298,0.0014,0.0008,0.0013,0.0003,0.0042,0.0029,0.0024,0.0008,0.0007
60,134.2,1.008,0.0114,0.0056,0.0112,0.0026,0.0533,0.0037,0.002,0.003,0.0005,0.0073,0.0069,0.0057,0.002,0.0017
65,145.4,1.092,0.0307,0.0139,0.0255,0.0056,0.0892,0.0095,0.005,0.0066,0.0011,0.0116,0.0168,0.0139,0.0048,0.004
70,156.6,1.176,0.08,0.0343,0.0569,0.0118,0.1359,0.0224,0.0117,0.0139,0.0024,0.0166,0.04,0.033,0.0108,0.0089
75,167.8,1.261,0.1925,0.0821,0.1211,0.0246,0.1856,0.0442,0.0251,0.0264,0.0049,0.0212,0.0905,0.0746,0.0213,0.0176
80,179.0,1.345,0.3952,0.1839,0.2363,0.0503,0.2282,0.0684,0.0458,0.0435,0.0095,0.0248,0.1841,0.1518,0.0352,0.029
85,190.1,1.429,0.6417,0.3622,0.4007,0.0985,0.2585,0.0856,0.068,0.0602,0.0174,0.0271,0.3166,0.2611,0.0481,0.0397
90,201.3,1.513,0.8308,0.5887,0.5728,0.1791,0.2773,0.0942,0.0843,0.0722,0.0285,0.0284,0.452,0.3727,0.0572,0.0472
95,212.5,1.597,0.9308,0.783,0.7032,0.291,0.2879,0.0978,0.0931,0.0789,0.0406,0.0292,0.554,0.4569,0.0624,0.0515
100,223.7,1.681,0.9736,0.9009,0.7797,0.4116,0.2937,0.0992,0.0971,0.0823,0.0507,0.0296,0.6152,0.5074,0.0651,0.0537
105,234.9,1.765,0.9902,0.9582,0.8182,0.511,0.2968,0.0997,0.0988,0.0838,0.0574,0.0298,0.6472,0.5337,0.0664,0.0548
110,246.1,1.849,0.9964,0.983,0.836,0.5764,0.2983,0.0999,0.0995,0.0845,0.0612,0.0299,0.6627,0.5465,0.067,0.0553
115,257.2,1.933,0.9987,0.9932,0.8439,0.6133,0.2991,0.1,0.0998,0.0848,0.0632,0.0299,0.6698,0.5524,0.0673,0.0555
