hail_diameter_mm,HAIL_SOLAR_FRAGILE_THIN_GG_unstowed_DR,HAIL_SOLAR_FRAGILE_THIN_GG_fully_stowed_DR_adjusted,HAIL_SOLAR_DEFAULT_3P2_GBS_unstowed_DR,HAIL_SOLAR_DEFAULT_3P2_GBS_fully_stowed_DR_adjusted,HAIL_SOLAR_HARDENED_THICKER_unstowed_DR,HAIL_SOLAR_HARDENED_THICKER_fully_stowed_DR_adjusted
25,0.028018960877552106,0.004419177661279811,0.010000208873691786,0.002404458723833401,0.004999841253861766,0.0015291461886110696
35,0.20748952908806925,0.03860435429587808,0.050403394147070714,0.012492669459946487,0.01907669704145462,0.005889403640791037
40,0.44103568533715437,0.10709153577109524,0.10847451605877446,0.028132424214068787,0.03684935441423206,0.011513266533741283
44,0.6560119660571563,0.22149499842660347,0.19111664840680956,0.05306697856054128,0.06168483735769013,0.01960289630315586
50,0.8775434458525238,0.4958096512157374,0.39000320357653323,0.13047467110554667,0.1289739168117034,0.04298068064255116
55,0.9557455234733404,0.7083807132888575,0.5944183724792933,0.2518960220187896,0.22558572386548587,0.08082181305653743
60,0.9848680632293879,0.8258712986063409,0.7706210392479939,0.42404701339125134,0.36429937840800736,0.146292081682296
64,0.9936833661174024,0.8677743239578413,0.8670898476244392,0.5703405001445049,0.49614314299884044,0.22509055574509784
70,0.9983111718852355,0.8911925814192814,0.9463911222476161,0.7415946110994102,0.6892377798934505,0.38606528995625605
75,0.9994389813081112,0.8970582939867545,0.9758847776058313,0.8232850048856369,0.8135452954066228,0.5367768913523532
80,0.9998137734103822,0.8990217489371926,0.9893349535708781,0.864844385285121,0.8956564661951323,0.6696611351621249
90,0.999979492310937,0.8998921863704444,0.9979526943190833,0.8930911486228239,0.9707780653706544,0.8265415512157335
