benchmark_id,source_id,sub_peril_family,metric_family,reported_value,value_basis_label,maps_to_failure_units,usd_per_MWdc_if_normalizable,pct_installed_TIV_if_normalizable,pct_physical_replaceable_if_normalizable,direct_damage_grain_comparability,crosswalk_note
AXIS_FAILED_STOW_PER_MW,AXIS_RENEWABLE_2024,CONVECTIVE_BLENDED,EVENT_LOSS,"$380,000/MW",gross_claim,"SWS_MODULE_ATTACH+SWS_TRACKER_STRUCT (blended, non-isolable)",380000,33.929,43.29,LOW_GRAIN_MISMATCH,"Whole-plant modeled failed-stow loss ($380k/MW=33.9% TIV). Exceeds the tracker+racking mounting bucket ($122,892/MWdc) alone, so it necessarily includes module-attach and downtime; HAIL-stow framed, not isolated straight-line wind. Not directly comparable to a single-FU DR."
AXIS_FIXED_TILT_PER_MW,AXIS_RENEWABLE_2024,CONVECTIVE_BLENDED,EVENT_LOSS,"$340,000/MW",gross_claim,SWS_RACKING_STRUCT+SWS_MODULE_ATTACH (blended),340000,30.357,38.733,LOW_GRAIN_MISMATCH,Fixed-tilt modeled loss ($340k/MW=30.4% TIV). Architecture-appropriate (racking not tracker) but still blended module+mounting+BI and hail/NatCat-mixed. Order-of-magnitude only.
AXIS_SUCCESSFUL_HAIL_STOW_PER_MW,AXIS_RENEWABLE_2024,CONVECTIVE_BLENDED,EVENT_LOSS,"$150,000/MW",gross_claim,"SWS_MODULE_ATTACH (residual, hail-mitigated)",150000,13.393,17.088,LOW_GRAIN_MISMATCH,"Successful-hail-stow residual ($150k/MW=13.4% TIV). Predominantly a hail-mitigation residual, NOT straight-line wind; included to show the stow-behavior swing only."
AXIS_HEAT_STRENGTH_GLASS_UPGRADE,AXIS_RENEWABLE_2024,CONVECTIVE_BLENDED,MITIGATION_COST,"+$50,000/MW",unknown,"(mitigation cost, not a loss)",50000,4.464,5.696,NOT_A_LOSS,"Hardening COST (+$50k/MW), hail-glass upgrade. Value-at-risk context, not a DR."
NREL_TIV_CROSSCHECK_112,NREL_DOE_PV_COST_BENCHMARK_Q1_2024,N/A,VALUE_BASIS,$1.12/W-dc,installed_TIV,(denominator cross-check),1120000,100.0,127.592,NOT_A_LOSS,Cross-check of the installed-TIV basis; EXACT match ($1.12/W-dc). Anchors every % normalization; not a loss.
DM_PHYS_REPLACEABLE_SOLAR,NREL_DOE_PV_COST_BENCHMARK_Q1_2024,N/A,VALUE_BASIS,"$877,796/MW-dc",physical_replaceable_value,(denominator cross-check),877796,78.375,100.0,NOT_A_LOSS,Physical-replaceable denominator (78.37% of TIV) against which all FU value shares are measured; not a loss.
AXIS_GROSS_CLAIM_EXAMPLE,AXIS_RENEWABLE_2024,CONVECTIVE_BLENDED,EVENT_LOSS,"$342,000,000",gross_claim,(no MW denominator),,,,NOT_NORMALIZABLE,$342M gross claim with NO MW denominator -> $/MW WITHHELD per golden rule; blended NatCat.
CEDAR_RAPIDS_DERECHO_LIFTOFF,SETO_SEVERE_WEATHER_2023,STRAIGHT_LINE_CONVECTIVE,DAMAGE_STATE,array liftoff; ~140 mph vs ASCE 120 mph design,unknown,SWS_FOUNDATION_UPLIFT+SWS_MODULE_ATTACH,,,,DAMAGE_STATE_ONLY,Clean derecho failure at ~140 mph vs 120 mph design (R_eff>1) -> qualitatively consistent with DR rising past R0 for foundation/module-attach. No $ -> not normalizable.
PRESCOTT_AZ_SUBDESIGN_FAILURE,SETO_SEVERE_WEATHER_2023,STRAIGHT_LINE_CONVECTIVE,DAMAGE_STATE,array destroyed at ~70 mph,unknown,"(sub-design, off-curve)",,,,OFF_CURVE_WORKMANSHIP,"Failure BELOW design (~70 mph) -> workmanship/anchorage defect, NOT the design-demand curve. Excluded from curve comparison."
SOLTEC_TRACKER_COLLAPSE_FRACTION,SOLTEC_2019_PVMAG,STRAIGHT_LINE_CONVECTIVE,DAMAGE_STATE,~1% collapsed + ~1% minor damage,failure_unit_value,SWS_TRACKER_STRUCT,,,,FRACTION_ONLY,"~1-2% tracker collapse fraction (perimeter). A count fraction, not a $ DR; informs SWS_TRACKER_STRUCT partial-loss shape only."
OAKEY_MODULE_DAMAGE,OAKEY_2019_PVMAG,STRAIGHT_LINE_CONVECTIVE,DAMAGE_STATE,"~2,000 modules",failure_unit_value,SWS_MODULE_ATTACH,,,,FRACTION_ONLY,"~2,000 modules at a 55 MW plant (small % of modules). Module-attach fraction, non-US, no gust; shape context only."
NEXTRACKER_STOW_FAILPROB,NEXTRACKER_STOW_WHITEPAPER_2018,STRAIGHT_LINE_CONVECTIVE,FAILURE_PROBABILITY,"1.7-14.6% (25-yr, by site/stow)",unknown,"SWS_TRACKER_STRUCT (probability, not DR)",,,,PROBABILITY_NOT_DR,"25-yr cumulative failure PROBABILITY by stow (1.7-14.6%), not single-event DR and not $. Screening only."
FEMP_TIER_DERIVED_PER_MW,DOE_FEMP_PV_WEATHER_GUIDE,STRAIGHT_LINE_CONVECTIVE,REPAIR_COST,"~$10,000-$1,500,000/MW",gross_claim,(partial->total repair ladder),,,,GRAIN_WARNING,"Derived $/MW span up to $1.5M/MW (134% TIV) -> repair+debris+replace can exceed asset TIV; GRAIN WARNING, not DR>1. $ WITHHELD."
