pathway_id,wind_speed_mps,iec_ve50_mps,speed_ratio_to_iec,v2_lower_dr_turbine_equipment,v2_central_dr_turbine_equipment,v2_upper_dr_turbine_equipment,v2_central_contribution_physical_reference,v2_central_contribution_installed_reference,extrapolation_flag,comparability_note
straight_line_convective,25,59.5,0.420168067,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,below_28_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,28,59.5,0.470588235,0.000000019,0.000000000,0.000000000,0.000000000,0.000000000,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,36,59.5,0.605042017,0.000199874,0.000000432,0.000000000,0.000000290,0.000000239,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,45,59.5,0.756302521,0.018548999,0.000642375,0.000006748,0.000431416,0.000355787,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,51,59.5,0.857142857,0.104961505,0.010045640,0.000366871,0.006746610,0.005563896,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,55,59.5,0.924369748,0.201644752,0.037546976,0.002557228,0.025216392,0.020795835,within_load_anchor,different_denominators_do_not_treat_as_regression_target
straight_line_convective,59.5,59.5,1.000000000,0.321778142,0.106171843,0.013947433,0.071304565,0.058804527,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,65,59.5,1.092436975,0.511218083,0.234323265,0.061073459,0.157370523,0.129782703,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,67,59.5,1.126050420,0.593288820,0.289144302,0.090984309,0.194188102,0.160145980,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,69,59.5,1.159663866,0.675951370,0.348968438,0.127664349,0.234365741,0.193280283,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,70,59.5,1.176470588,0.715669965,0.381030897,0.148331439,0.255898754,0.211038454,above_55_high_extrapolation,different_denominators_do_not_treat_as_regression_target
straight_line_convective,80,59.5,1.344537815,,,,,,withheld_above_70_mps,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,25,59.5,0.420168067,0.000012108,0.000000031,0.000000000,0.000000021,0.000000017,below_numeric_transition,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,28,59.5,0.470588235,0.000567046,0.000010026,0.000000049,0.000006733,0.000005553,below_numeric_transition,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,36,59.5,0.605042017,0.011871196,0.005965291,0.001120131,0.004006264,0.003303947,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,45,59.5,0.756302521,0.161072807,0.029387017,0.012017147,0.019736197,0.016276346,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,51,59.5,0.857142857,0.328951679,0.160774081,0.047934782,0.107975199,0.089046620,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,55,59.5,0.924369748,0.482417189,0.262568405,0.134066151,0.176339841,0.145426607,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,59.5,59.5,1.000000000,0.741006977,0.348754695,0.242580977,0.234222192,0.193161899,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,65,59.5,1.092436975,0.946681881,0.552268485,0.303152391,0.370901201,0.305880411,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,67,59.5,1.126050420,0.975348012,0.654490902,0.314665793,0.439553347,0.362497501,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,69,59.5,1.159663866,0.989655987,0.753656900,0.330090890,0.506152817,0.417421759,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,70,59.5,1.176470588,0.993526783,0.798263278,0.341234253,0.536110273,0.442127527,screening_range,different_denominators_do_not_treat_as_regression_target
tornado_direct_hit,80,59.5,1.344537815,0.999979880,0.990796370,0.654585929,0.665414691,0.548764250,terminal_saturation_boundary,different_denominators_do_not_treat_as_regression_target
